from_postcode,BT126BA,BT161RH,BT358DR,BT412RL,BT476SB,BT521HS,BT635QQ,BT746DN
BT126BA,0,19.0326579023751,52.5636145854392,27.4048869057523,88.4,69.8979386453122,39.1166217609521,105.3
BT161RH,19.0326579023751,0,63.0772787396216,35.2996111471651,96.2,77.6959497099794,50.1734580681615,117
BT358DR,51.3712344516913,63.0772787396216,0,69.8979386453122,117,114.4,35.2996111471651,94.9
BT412RL,28.7486181479082,35.2996111471651,71.0219095730246,0,72.142438746773,53.7507676882285,48.9701057321922,110.5
BT476SB,88.4,96.2,117,72.142438746773,0,45.3246173009173,98.8,85.8
BT521HS,69.8979386453122,76.5915751408553,114.4,53.7507676882285,45.3246173009173,0,88.4,122.2
BT635QQ,37.8526650536016,50.1734580681615,35.2996111471651,48.9701057321922,98.8,88.4,0,79.8956428122916
BT746DN,104,117,94.9,115.7,85.8,122.2,80.9910768517414,0
