"area","Admissions"
"N00000001",0
"N00000002",0.397416790859414
"N00000003",0.198708395429707
"N00000004",0.198708395429707
"N00000005",0
"N00000006",0.397416790859414
"N00000007",0.397416790859414
"N00000008",0.397416790859414
"N00000009",0.198708395429707
"N00000010",0.596125186289121
"N00000011",0.596125186289121
"N00000012",0
"N00000013",0.198708395429707
"N00000014",1.39095876800795
"N00000015",0.397416790859414
"N00000016",0.596125186289121
"N00000017",0
"N00000018",0.198708395429707
"N00000019",0.198708395429707
"N00000020",0.397416790859414
"N00000021",0.596125186289121
"N00000022",0.993541977148535
"N00000023",0.596125186289121
"N00000024",0.397416790859414
"N00000025",1.19225037257824
"N00000026",0
"N00000027",0.596125186289121
"N00000028",0.397416790859414
"N00000029",0.794833581718828
"N00000030",0.198708395429707
"N00000031",0.397416790859414
"N00000032",0.596125186289121
"N00000033",0.596125186289121
"N00000034",2.38450074515648
"N00000035",0.198708395429707
"N00000036",0.397416790859414
"N00000037",0.397416790859414
"N00000038",0.198708395429707
"N00000039",0.993541977148535
"N00000040",0
"N00000041",0
"N00000042",0.993541977148535
"N00000043",2.18579234972678
"N00000044",0.198708395429707
"N00000045",0
"N00000046",0.993541977148535
"N00000047",0.993541977148535
"N00000048",0.596125186289121
"N00000049",0.198708395429707
"N00000050",0.397416790859414
"N00000051",0.993541977148535
"N00000052",0.596125186289121
"N00000053",0.596125186289121
"N00000054",0.397416790859414
"N00000055",0.596125186289121
"N00000056",0.596125186289121
"N00000057",0.198708395429707
"N00000058",0
"N00000059",0.397416790859414
"N00000060",0
"N00000061",0.794833581718828
"N00000062",0.397416790859414
"N00000063",0.397416790859414
"N00000064",0.596125186289121
"N00000065",0.596125186289121
"N00000066",0.596125186289121
"N00000067",0.397416790859414
"N00000068",0.397416790859414
"N00000069",0.794833581718828
"N00000070",1.39095876800795
"N00000071",0.198708395429707
"N00000072",0.993541977148535
"N00000073",2.58320914058619
"N00000074",0.596125186289121
"N00000075",0.198708395429707
"N00000076",0.596125186289121
"N00000077",0.198708395429707
"N00000078",0.198708395429707
"N00000079",1.58966716343766
"N00000080",0.397416790859414
"N00000081",0.596125186289121
"N00000082",0.198708395429707
"N00000083",0.198708395429707
"N00000084",0.397416790859414
"N00000085",4.37158469945355
"N00000086",0.397416790859414
"N00000087",1.58966716343766
"N00000088",1.39095876800795
"N00000089",0.397416790859414
"N00000090",0
"N00000091",0.397416790859414
"N00000092",0.993541977148535
"N00000093",2.9806259314456
"N00000094",0.596125186289121
"N00000095",0.397416790859414
"N00000096",1.39095876800795
"N00000097",0.596125186289121
"N00000098",1.58966716343766
"N00000099",3.77545951316443
"N00000100",0.794833581718828
"N00000101",0.198708395429707
"N00000102",0
"N00000103",4.57029309488326
"N00000104",0.397416790859414
"N00000105",0.794833581718828
"N00000106",0.397416790859414
"N00000107",0
"N00000108",0.198708395429707
"N00000109",0.397416790859414
"N00000110",0.596125186289121
"N00000111",0
"N00000112",0.596125186289121
"N00000113",0
"N00000114",0.198708395429707
"N00000115",0.198708395429707
"N00000116",0
"N00000117",0
"N00000118",0.198708395429707
"N00000119",0.397416790859414
"N00000120",0.596125186289121
"N00000121",0.596125186289121
"N00000122",0.397416790859414
"N00000123",0.596125186289121
"N00000124",3.57675111773473
"N00000125",0.198708395429707
"N00000126",0.794833581718828
"N00000127",0.397416790859414
"N00000128",1.19225037257824
"N00000129",1.19225037257824
"N00000130",0.596125186289121
"N00000131",1.39095876800795
"N00000132",0.397416790859414
"N00000133",0.596125186289121
"N00000134",0.198708395429707
"N00000135",0.198708395429707
"N00000136",0.794833581718828
"N00000137",0.596125186289121
"N00000138",0.198708395429707
"N00000139",0
"N00000140",0.794833581718828
"N00000141",2.38450074515648
"N00000142",0.397416790859414
"N00000143",0
"N00000144",0
"N00000145",0.794833581718828
"N00000146",0.198708395429707
"N00000147",0.397416790859414
"N00000148",0.397416790859414
"N00000149",0.397416790859414
"N00000150",0.993541977148535
"N00000151",1.58966716343766
"N00000152",0.596125186289121
"N00000153",0.397416790859414
"N00000154",0
"N00000155",0.198708395429707
"N00000156",0.397416790859414
"N00000157",0.596125186289121
"N00000158",1.98708395429707
"N00000159",1.19225037257824
"N00000160",1.78837555886736
"N00000161",0.596125186289121
"N00000162",0.397416790859414
"N00000163",0.198708395429707
"N00000164",0.198708395429707
"N00000165",0.397416790859414
"N00000166",1.58966716343766
"N00000167",1.58966716343766
"N00000168",0.397416790859414
"N00000169",1.98708395429707
"N00000170",1.19225037257824
"N00000171",0.794833581718828
"N00000172",0.993541977148535
"N00000173",0.397416790859414
"N00000174",1.19225037257824
"N00000175",0
"N00000176",1.19225037257824
"N00000177",0.397416790859414
"N00000178",1.98708395429707
"N00000179",3.77545951316443
"N00000180",0.397416790859414
"N00000181",0.794833581718828
"N00000182",1.19225037257824
"N00000183",0.397416790859414
"N00000184",4.76900149031297
"N00000185",1.78837555886736
"N00000186",0.397416790859414
"N00000187",0.198708395429707
"N00000188",0.596125186289121
"N00000189",0.596125186289121
"N00000190",0.198708395429707
"N00000191",0.794833581718828
"N00000192",0.198708395429707
"N00000193",0.596125186289121
"N00000194",0.993541977148535
"N00000195",1.58966716343766
"N00000196",0.397416790859414
"N00000197",0
"N00000198",0.596125186289121
"N00000199",0
"N00000200",0.198708395429707
"N00000201",0
"N00000202",0.397416790859414
"N00000203",0.596125186289121
"N00000204",0.596125186289121
"N00000205",0.794833581718828
"N00000206",0.397416790859414
"N00000207",0.198708395429707
"N00000208",0
"N00000209",0.794833581718828
"N00000210",0.397416790859414
