property,,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 008D,E01014430,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,,,,,,,,,,,,,3.0,0.00038545547989207247
Bath and North East Somerset 009A,E01014405,30.0,0.0,60.0,0.0,80.0,0.0,87.9,0.0,117.9,,181.6,,241.6,,-0.6014325184208369,,0.12144514601594258,,0.3927540353283616,,2.666666667,0.0003426270932802261
Bath and North East Somerset 009C,E01014407,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,0.0,,,,,-0.5579261645693461,0.0,0.102280646480582,0.0,0.6914094027445281,0.0,1.0,0.00012848515996402416
Bath and North East Somerset 009E,E01033080,30.0,,60.0,,80.0,,90.1,,120.1,,183.8,,243.8,,-0.594379668103735,,0.12011597179522249,,0.39133388062211705,,1.666666667,0.000214141933316202
Bath and North East Somerset 010A,E01014373,30.0,0.0,60.0,0.0,80.0,0.0,97.59999999999998,0.0,127.6,,,,,,-0.5414833481997912,,0.09944733542126116,,0.6883367266385902,,3.666666667,0.00047111225324425026
Bath and North East Somerset 010B,E01014374,30.0,0.0,60.0,0.0,80.0,0.0,97.6,0.0,127.59999999999998,0.0,191.3,,251.3,,-0.5511257691323145,0.01670116296309601,0.10482889836796984,0.009321140447829517,0.5877266131713542,0.17426182828052245,5.333333333,0.000685254186431967
Bath and North East Somerset 010C,E01014375,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,129.8,0.0,,,,,-0.5366505671229076,0.0,0.09861312277405798,0.0,0.6874322385683737,0.0,2.333333333,0.00029979870653989467
Bath and North East Somerset 010D,E01014376,30.0,0.0,60.0,0.0,80.0,0.0,97.6,0.0,127.6,0.0,191.3,,251.3,,-0.5487151638991836,0.014463631398784937,0.10348350763129267,0.00807234442006302,0.6128791415381633,0.150915170200854,3.0,0.00038545547989207247
Bath and North East Somerset 010E,E01014377,30.0,0.0,60.0,0.0,80.0,0.0,96.5,0.0,126.5,0.0,190.2,0.0,250.2,0.0,-0.573918826783836,0.0,0.11625481613617444,0.0,0.3872130492343571,0.0,2.333333333,0.00029979870653989467
Bath and North East Somerset 010G,E01033078,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,0.0,192.4,0.0,252.4,0.0,-0.5529861928498224,0.016071927054184452,0.10697994444128103,0.009179337480686856,0.5368424312675583,0.17440854466461497,2.666666667,0.0003426270932802261
